station_complex,year,month,day_type,ridership
Flushing-Main St (7),2020,2020-12-01,2,110050
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2024,2024-02-01,2,359695
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2024,2024-02-01,2,705723
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-10-01,2,427216
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-02-01,2,593024
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-08-01,2,602706
"34 St-Penn Station (A,C,E)",2020,2020-10-01,2,90624
Flushing-Main St (7),2024,2024-07-01,2,237685
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-12-01,2,514141
"59 St-Columbus Circle (A,B,C,D,1)",2023,2023-04-01,2,308308
"59 St-Columbus Circle (A,B,C,D,1)",2023,2023-08-01,2,240901
"34 St-Penn Station (A,C,E)",2020,2020-11-01,2,92404
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2020,2020-12-01,2,206241
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2020,2020-07-01,2,17368
Flushing-Main St (7),2024,2024-09-01,2,269693
Flushing-Main St (7),2024,2024-03-01,2,275630
"34 St-Penn Station (A,C,E)",2024,2024-01-01,2,277646
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2023,2023-12-01,2,307208
Flushing-Main St (7),2023,2023-06-01,2,239667
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-10-01,2,456824
"59 St-Columbus Circle (A,B,C,D,1)",2022,2022-07-01,2,274671
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-09-01,2,649252
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-03-01,2,161059
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2024,2024-09-01,2,393597
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2022,2022-02-01,2,91054
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-05-01,2,746369
"34 St-Penn Station (1,2,3)",2021,2021-05-01,2,160083
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-05-01,2,151671
"Grand Central-42 St (S,4,5,6,7)",2021,2021-02-01,2,91510
"34 St-Penn Station (A,C,E)",2024,2024-03-01,2,362797
Flushing-Main St (7),2023,2023-02-01,2,138359
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-12-01,2,566493
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2022,2022-03-01,2,73693
"Grand Central-42 St (S,4,5,6,7)",2022,2022-08-01,2,297700
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-01-01,2,157418
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2020,2020-09-01,2,137779
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2020,2020-08-01,2,123737
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2024,2024-05-01,2,125205
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2023,2023-09-01,2,122063
Flushing-Main St (7),2022,2022-04-01,2,205949
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2022,2022-05-01,2,225529
"59 St-Columbus Circle (A,B,C,D,1)",2024,2024-09-01,2,260005
"Grand Central-42 St (S,4,5,6,7)",2023,2023-12-01,2,566506
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-10-01,2,299420
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-06-01,2,244415
"59 St-Columbus Circle (A,B,C,D,1)",2021,2021-07-01,2,178945
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2021,2021-05-01,2,179901
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2021,2021-03-01,2,130716
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2024,2024-04-01,2,398453
"34 St-Penn Station (1,2,3)",2022,2022-01-01,2,144738
"34 St-Penn Station (1,2,3)",2023,2023-03-01,2,214603
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2023,2023-07-01,2,307452
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-11-01,2,754674
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2023,2023-09-01,2,266690
Flushing-Main St (7),2022,2022-11-01,2,199298
"Grand Central-42 St (S,4,5,6,7)",2022,2022-06-01,2,303548
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-02-01,2,194802
