station_complex,year,month,day_type,ridership
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-02-01,1,1090403
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-02-01,1,1366033
"34 St-Penn Station (A,C,E)",2021,2021-09-01,1,776432
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-09-01,1,1064354
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2024,2024-02-01,1,1399510
"Grand Central-42 St (S,4,5,6,7)",2023,2023-04-01,1,1956772
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2024,2024-08-01,1,2909416
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2021,2021-10-01,1,1224700
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2024,2024-05-01,1,1792799
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-12-01,1,1640688
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-11-01,1,2593986
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-03-01,1,1241275
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-10-01,1,897325
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2024,2024-06-01,1,2773124
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2024,2024-07-01,1,1399151
"Fulton St (A,C,J,Z,2,3,4,5)",2024,2024-08-01,1,1282488
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-12-01,1,1157228
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-04-01,1,1151036
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-04-01,1,1148769
"Grand Central-42 St (S,4,5,6,7)",2020,2020-10-01,1,651365
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-07-01,1,1014456
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-03-01,1,638309
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2020,2020-08-01,1,789721
"Grand Central-42 St (S,4,5,6,7)",2020,2020-07-01,1,423297
"34 St-Penn Station (A,C,E)",2023,2023-07-01,1,1086633
"Grand Central-42 St (S,4,5,6,7)",2022,2022-09-01,1,1849968
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2021,2021-11-01,1,1341932
"34 St-Penn Station (A,C,E)",2022,2022-07-01,1,944775
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-07-01,1,2278336
"Grand Central-42 St (S,4,5,6,7)",2021,2021-02-01,1,527695
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-04-01,1,1466300
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2024,2024-10-01,1,1527589
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-08-01,1,1325253
"Grand Central-42 St (S,4,5,6,7)",2020,2020-11-01,1,575746
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2020,2020-10-01,1,586563
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2020,2020-08-01,1,420053
"Fulton St (A,C,J,Z,2,3,4,5)",2020,2020-08-01,1,339665
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2024,2024-02-01,1,1478650
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-09-01,1,1489262
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-07-01,1,1234210
"34 St-Penn Station (A,C,E)",2021,2021-10-01,1,873804
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-09-01,1,1831187
"Fulton St (A,C,J,Z,2,3,4,5)",2020,2020-12-01,1,399901
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-05-01,1,1543631
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-04-01,1,2612261
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-10-01,1,1301145
"34 St-Penn Station (A,C,E)",2021,2021-04-01,1,508113
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-02-01,1,461018
"Grand Central-42 St (S,4,5,6,7)",2020,2020-09-01,1,571777
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2024,2024-07-01,1,3064448
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-08-01,1,715557
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2021,2021-04-01,1,798312
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-09-01,1,1156929
"Grand Central-42 St (S,4,5,6,7)",2024,2024-10-01,1,2215210
"34 St-Penn Station (A,C,E)",2021,2021-08-01,1,729088
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-05-01,1,1705907
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-07-01,1,1212402
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-04-01,1,1187222
"Fulton St (A,C,J,Z,2,3,4,5)",2024,2024-05-01,1,1427083
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2024,2024-02-01,1,2719596
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-10-01,1,1593606
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-10-01,1,1649829
"34 St-Penn Station (A,C,E)",2022,2022-04-01,1,937637
"Grand Central-42 St (S,4,5,6,7)",2023,2023-03-01,1,2233144
"34 St-Penn Station (A,C,E)",2023,2023-02-01,1,990197
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-10-01,1,1145704
"Grand Central-42 St (S,4,5,6,7)",2024,2024-09-01,1,2132532
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-11-01,1,1245392
"34 St-Penn Station (A,C,E)",2023,2023-08-01,1,1210343
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-12-01,1,2166629
"Fulton St (A,C,J,Z,2,3,4,5)",2020,2020-10-01,1,461055
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2024,2024-08-01,1,1354378
