station_complex,month,day_type,ridership,lines
"104 St (J,Z)",8,weekend,2032.6666666666667,"J,Z"
"104 St (J,Z)",9,weekday,39551.0,"J,Z"
"104 St (J,Z)",9,weekend,5646.0,"J,Z"
"104 St (J,Z)",10,weekday,43685.333333333336,"J,Z"
"104 St (J,Z)",10,weekend,5594.0,"J,Z"
"104 St (J,Z)",11,weekday,44032.0,"J,Z"
"104 St (J,Z)",11,weekend,5366.5,"J,Z"
"104 St (J,Z)",12,weekday,41508.0,"J,Z"
"104 St (J,Z)",12,weekend,5699.0,"J,Z"
110 St (6),1,weekday,136244.66666666666,6
110 St (6),1,weekend,27717.333333333332,6
110 St (6),2,weekday,133181.33333333334,6
110 St (6),2,weekend,27004.0,6
110 St (6),3,weekday,159067.33333333334,6
110 St (6),3,weekend,29427.666666666668,6
110 St (6),4,weekday,140369.0,6
110 St (6),4,weekend,31656.0,6
110 St (6),5,weekday,156308.0,6
110 St (6),5,weekend,28864.666666666668,6
110 St (6),6,weekday,139114.0,6
110 St (6),6,weekend,33219.333333333336,6
110 St (6),7,weekday,120295.66666666667,6
110 St (6),7,weekend,28146.666666666668,6
110 St (6),8,weekday,126458.0,6
110 St (6),8,weekend,27712.333333333332,6
110 St (6),9,weekday,136473.0,6
110 St (6),9,weekend,28314.0,6
110 St (6),10,weekday,150627.66666666666,6
110 St (6),10,weekend,30095.666666666668,6
110 St (6),11,weekday,143443.0,6
110 St (6),11,weekend,29625.5,6
110 St (6),12,weekday,134143.0,6
110 St (6),12,weekend,33179.5,6
111 St (7),1,weekday,145008.33333333334,7
111 St (7),1,weekend,36234.0,7
111 St (7),2,weekday,139885.66666666666,7
111 St (7),2,weekend,34796.333333333336,7
111 St (7),3,weekday,169857.66666666666,7
111 St (7),3,weekend,37057.0,7
111 St (7),4,weekday,163142.66666666666,7
111 St (7),4,weekend,45554.0,7
111 St (7),5,weekday,178117.33333333334,7
111 St (7),5,weekend,42644.0,7
111 St (7),6,weekday,147967.0,7
111 St (7),6,weekend,44354.0,7
111 St (7),7,weekday,133476.0,7
111 St (7),7,weekend,45026.0,7
111 St (7),8,weekday,138808.33333333334,7
111 St (7),8,weekend,39672.0,7
111 St (7),9,weekday,142599.66666666666,7
111 St (7),9,weekend,39442.333333333336,7
111 St (7),10,weekday,146869.66666666666,7
111 St (7),10,weekend,43629.666666666664,7
111 St (7),11,weekday,144296.0,7
111 St (7),11,weekend,33697.5,7
111 St (7),12,weekday,137912.5,7
111 St (7),12,weekend,39212.5,7
111 St (A),1,weekday,31577.666666666668,A
111 St (A),1,weekend,4581.0,A
111 St (A),2,weekday,31578.333333333332,A
111 St (A),2,weekend,4656.333333333333,A
111 St (A),3,weekday,37039.0,A
111 St (A),3,weekend,5383.333333333333,A
111 St (A),4,weekday,32843.666666666664,A
111 St (A),4,weekend,5114.333333333333,A
111 St (A),5,weekday,36170.333333333336,A
111 St (A),5,weekend,4275.666666666667,A
111 St (A),6,weekday,33817.0,A
111 St (A),6,weekend,5934.333333333333,A
111 St (A),7,weekday,31172.666666666668,A
111 St (A),7,weekend,5727.666666666667,A
111 St (A),8,weekday,33167.0,A
111 St (A),8,weekend,5667.666666666667,A
111 St (A),9,weekday,33562.333333333336,A
111 St (A),9,weekend,4005.0,A
111 St (A),10,weekday,34909.0,A
111 St (A),10,weekend,3622.0,A
111 St (A),11,weekday,36064.5,A
111 St (A),11,weekend,5099.5,A
111 St (A),12,weekday,32932.5,A
111 St (A),12,weekend,5799.5,A
111 St (J),1,weekday,31686.666666666668,J
111 St (J),1,weekend,4627.333333333333,J
111 St (J),2,weekday,31243.333333333332,J
111 St (J),2,weekend,3265.6666666666665,J
111 St (J),3,weekday,37886.333333333336,J
111 St (J),3,weekend,2699.0,J
111 St (J),4,weekday,33111.666666666664,J
111 St (J),4,weekend,5809.0,J
111 St (J),5,weekday,38023.666666666664,J
111 St (J),5,weekend,4852.666666666667,J
111 St (J),6,weekday,33396.0,J
111 St (J),6,weekend,4137.333333333333,J
111 St (J),7,weekday,26965.0,J
111 St (J),7,weekend,5057.333333333333,J
111 St (J),8,weekday,28208.0,J
111 St (J),8,weekend,1609.3333333333333,J
111 St (J),9,weekday,32131.666666666668,J
111 St (J),9,weekend,4661.333333333333,J
111 St (J),10,weekday,35298.0,J
111 St (J),10,weekend,4744.333333333333,J
111 St (J),11,weekday,34722.5,J
111 St (J),11,weekend,4341.0,J
111 St (J),12,weekday,32126.5,J
111 St (J),12,weekend,4584.5,J
"116 St (2,3)",1,weekday,120192.0,"2,3"
"116 St (2,3)",1,weekend,29048.666666666668,"2,3"
"116 St (2,3)",2,weekday,118921.0,"2,3"
"116 St (2,3)",2,weekend,28673.0,"2,3"
"116 St (2,3)",3,weekday,141544.33333333334,"2,3"
"116 St (2,3)",3,weekend,33774.0,"2,3"
"116 St (2,3)",4,weekday,126237.66666666667,"2,3"
"116 St (2,3)",4,weekend,35774.0,"2,3"
"116 St (2,3)",5,weekday,141821.0,"2,3"
"116 St (2,3)",5,weekend,35561.666666666664,"2,3"
"116 St (2,3)",6,weekday,128967.66666666667,"2,3"
"116 St (2,3)",6,weekend,37604.666666666664,"2,3"
"116 St (2,3)",7,weekday,116285.0,"2,3"
"116 St (2,3)",7,weekend,36130.0,"2,3"
"116 St (2,3)",8,weekday,120055.66666666667,"2,3"
"116 St (2,3)",8,weekend,29048.0,"2,3"
"116 St (2,3)",9,weekday,126285.0,"2,3"
"116 St (2,3)",9,weekend,32664.333333333332,"2,3"
"116 St (2,3)",10,weekday,131281.0,"2,3"
"116 St (2,3)",10,weekend,35512.666666666664,"2,3"
"116 St (2,3)",11,weekday,137005.5,"2,3"
"116 St (2,3)",11,weekend,35223.0,"2,3"
"116 St (2,3)",12,weekday,130576.5,"2,3"
"116 St (2,3)",12,weekend,42021.5,"2,3"
116 St (6),1,weekday,177482.66666666666,6
116 St (6),1,weekend,37888.0,6
116 St (6),2,weekday,180611.66666666666,6
116 St (6),2,weekend,37925.333333333336,6
116 St (6),3,weekday,213258.33333333334,6
116 St (6),3,weekend,40660.666666666664,6
116 St (6),4,weekday,188893.0,6
116 St (6),4,weekend,45076.666666666664,6
116 St (6),5,weekday,216429.66666666666,6
116 St (6),5,weekend,43018.0,6
116 St (6),6,weekday,192364.0,6
116 St (6),6,weekend,43927.0,6
116 St (6),7,weekday,166431.66666666666,6
116 St (6),7,weekend,40158.0,6
116 St (6),8,weekday,168892.66666666666,6
116 St (6),8,weekend,37792.333333333336,6
116 St (6),9,weekday,183583.33333333334,6
116 St (6),9,weekend,41788.333333333336,6
116 St (6),10,weekday,191011.66666666666,6
116 St (6),10,weekend,40873.0,6
116 St (6),11,weekday,193590.5,6
116 St (6),11,weekend,41646.5,6
116 St (6),12,weekday,181839.0,6
116 St (6),12,weekend,47208.5,6
"116 St (C,B)",1,weekday,89611.0,"C,B"
"116 St (C,B)",1,weekend,20894.666666666668,"C,B"
"116 St (C,B)",2,weekday,88001.66666666667,"C,B"
"116 St (C,B)",2,weekend,20960.0,"C,B"
"116 St (C,B)",3,weekday,104645.33333333333,"C,B"
"116 St (C,B)",3,weekend,21923.666666666668,"C,B"
"116 St (C,B)",4,weekday,96177.33333333333,"C,B"
"116 St (C,B)",4,weekend,23752.0,"C,B"
"116 St (C,B)",5,weekday,106982.66666666667,"C,B"
"116 St (C,B)",5,weekend,22978.333333333332,"C,B"
"116 St (C,B)",6,weekday,96803.0,"C,B"
"116 St (C,B)",6,weekend,26163.0,"C,B"
"116 St (C,B)",7,weekday,85029.66666666667,"C,B"
"116 St (C,B)",7,weekend,23197.333333333332,"C,B"
"116 St (C,B)",8,weekday,89258.0,"C,B"
"116 St (C,B)",8,weekend,24212.333333333332,"C,B"
"116 St (C,B)",9,weekday,95845.0,"C,B"
"116 St (C,B)",9,weekend,26073.0,"C,B"
"116 St (C,B)",10,weekday,99158.66666666667,"C,B"
"116 St (C,B)",10,weekend,28033.666666666668,"C,B"
"116 St (C,B)",11,weekday,99191.0,"C,B"
"116 St (C,B)",11,weekend,22096.0,"C,B"
"116 St (C,B)",12,weekday,92418.0,"C,B"
"116 St (C,B)",12,weekend,20034.0,"C,B"
116 St-Columbia University (1),1,weekday,172335.33333333334,1
116 St-Columbia University (1),1,weekend,35641.333333333336,1
116 St-Columbia University (1),2,weekday,235614.0,1
116 St-Columbia University (1),2,weekend,46841.333333333336,1
116 St-Columbia University (1),3,weekday,244633.33333333334,1
116 St-Columbia University (1),3,weekend,48367.666666666664,1
116 St-Columbia University (1),4,weekday,239564.33333333334,1
116 St-Columbia University (1),4,weekend,49239.333333333336,1
116 St-Columbia University (1),5,weekday,199610.66666666666,1
116 St-Columbia University (1),5,weekend,39195.666666666664,1
116 St-Columbia University (1),6,weekday,167911.0,1
116 St-Columbia University (1),6,weekend,34099.0,1
116 St-Columbia University (1),7,weekday,189537.0,1
116 St-Columbia University (1),7,weekend,39029.0,1
116 St-Columbia University (1),8,weekday,178267.33333333334,1
116 St-Columbia University (1),8,weekend,31781.333333333332,1
116 St-Columbia University (1),9,weekday,264698.3333333333,1
116 St-Columbia University (1),9,weekend,58148.666666666664,1
116 St-Columbia University (1),10,weekday,280400.6666666667,1
116 St-Columbia University (1),10,weekend,63980.666666666664,1
116 St-Columbia University (1),11,weekday,257497.5,1
116 St-Columbia University (1),11,weekend,50777.0,1
116 St-Columbia University (1),12,weekday,201064.5,1
116 St-Columbia University (1),12,weekend,49370.0,1
"121 St (J,Z)",1,weekday,32022.0,"J,Z"
"121 St (J,Z)",1,weekend,5467.0,"J,Z"
"121 St (J,Z)",2,weekday,29804.666666666668,"J,Z"
"121 St (J,Z)",2,weekend,3885.6666666666665,"J,Z"
"121 St (J,Z)",3,weekday,36293.0,"J,Z"
"121 St (J,Z)",3,weekend,2935.0,"J,Z"
"121 St (J,Z)",4,weekday,33336.0,"J,Z"
"121 St (J,Z)",4,weekend,6287.0,"J,Z"
"121 St (J,Z)",5,weekday,37809.333333333336,"J,Z"
"121 St (J,Z)",5,weekend,5456.0,"J,Z"
"121 St (J,Z)",6,weekday,35865.0,"J,Z"
"121 St (J,Z)",6,weekend,4671.666666666667,"J,Z"
"121 St (J,Z)",7,weekday,32919.0,"J,Z"
"121 St (J,Z)",7,weekend,7337.666666666667,"J,Z"
"121 St (J,Z)",8,weekday,31129.333333333332,"J,Z"
"121 St (J,Z)",8,weekend,2076.0,"J,Z"
"121 St (J,Z)",9,weekday,33297.0,"J,Z"
"121 St (J,Z)",9,weekend,5508.0,"J,Z"
"121 St (J,Z)",10,weekday,35973.333333333336,"J,Z"
"121 St (J,Z)",10,weekend,5619.333333333333,"J,Z"
"121 St (J,Z)",11,weekday,36390.5,"J,Z"
"121 St (J,Z)",11,weekend,5132.5,"J,Z"
"121 St (J,Z)",12,weekday,33661.5,"J,Z"
"121 St (J,Z)",12,weekend,5177.0,"J,Z"
125 St (1),1,weekday,110136.33333333333,1
125 St (1),1,weekend,25846.666666666668,1
125 St (1),2,weekday,123385.33333333333,1
125 St (1),2,weekend,24247.333333333332,1
125 St (1),3,weekday,135674.66666666666,1
125 St (1),3,weekend,32096.666666666668,1
125 St (1),4,weekday,134043.66666666666,1
125 St (1),4,weekend,30233.333333333332,1
125 St (1),5,weekday,134286.0,1
125 St (1),5,weekend,32421.333333333332,1
125 St (1),6,weekday,120723.66666666667,1
125 St (1),6,weekend,32034.333333333332,1
125 St (1),7,weekday,111947.33333333333,1
125 St (1),7,weekend,30453.666666666668,1
125 St (1),8,weekday,118471.66666666667,1
125 St (1),8,weekend,28094.666666666668,1
125 St (1),9,weekday,141427.66666666666,1
125 St (1),9,weekend,33497.333333333336,1
125 St (1),10,weekday,143649.33333333334,1
125 St (1),10,weekend,36287.0,1
125 St (1),11,weekday,139780.0,1
125 St (1),11,weekend,32208.5,1
125 St (1),12,weekday,118194.5,1
125 St (1),12,weekend,33241.0,1
"125 St (2,3)",1,weekday,152974.0,"2,3"
"125 St (2,3)",1,weekend,38162.0,"2,3"
"125 St (2,3)",2,weekday,159965.33333333334,"2,3"
"125 St (2,3)",2,weekend,38788.333333333336,"2,3"
"125 St (2,3)",3,weekday,195606.33333333334,"2,3"
"125 St (2,3)",3,weekend,46098.666666666664,"2,3"
"125 St (2,3)",4,weekday,180655.0,"2,3"
"125 St (2,3)",4,weekend,48509.0,"2,3"
"125 St (2,3)",5,weekday,203883.33333333334,"2,3"
"125 St (2,3)",5,weekend,49788.333333333336,"2,3"
"125 St (2,3)",6,weekday,183510.33333333334,"2,3"
"125 St (2,3)",6,weekend,52229.0,"2,3"
"125 St (2,3)",7,weekday,169734.0,"2,3"
"125 St (2,3)",7,weekend,50419.333333333336,"2,3"
"125 St (2,3)",8,weekday,173085.33333333334,"2,3"
"125 St (2,3)",8,weekend,41657.333333333336,"2,3"
"125 St (2,3)",9,weekday,176733.66666666666,"2,3"
"125 St (2,3)",9,weekend,45521.666666666664,"2,3"
"125 St (2,3)",10,weekday,186393.66666666666,"2,3"
"125 St (2,3)",10,weekend,49137.666666666664,"2,3"
"125 St (2,3)",11,weekday,177566.0,"2,3"
